2026-05-31 02:37:04,595 WARNING __main__ no LLM provider configured (GITHUB_TOKEN not set); LLM-driven ticks will error
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO __main__ scheduler starting (broker=sandbox)
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_mtm" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_day_tick" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_long_tick" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_coord_tick" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_tick_poll" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Scheduler started
2026-05-31 02:38:34,603 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:39 CDT)" executed successfully
2026-05-31 02:38:39,598 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:44 CDT)" (scheduled at 2026-05-31 02:38:39.597247-05:00)
2026-05-31 02:38:39,599 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:44 CDT)" executed successfully
2026-05-31 02:38:44,603 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:49 CDT)" (scheduled at 2026-05-31 02:38:44.597247-05:00)
2026-05-31 02:38:44,604 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:49 CDT)" executed successfully
2026-05-31 02:38:49,610 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:54 CDT)" (scheduled at 2026-05-31 02:38:49.597247-05:00)
2026-05-31 02:38:49,614 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:54 CDT)" executed successfully
2026-05-31 02:38:54,598 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:59 CDT)" (scheduled at 2026-05-31 02:38:54.597247-05:00)
2026-05-31 02:38:54,599 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:59 CDT)" executed successfully
2026-05-31 02:38:59,599 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:04 CDT)" (scheduled at 2026-05-31 02:38:59.597247-05:00)
